"Teil,""Deckungsmenge"",""KommNr"",""Bedarfsmenge"",""Termin"",""SubRefObj"""
"RBZ3,""0.0"",""148099-007500"",""111.6"",""2025-09-04"","""""
"zk20326,""0.0"",""148099-007500"",""160.0"",""2025-09-04"",""LA-00225090|zk20326||0"""
"vpss021,""0.0"",""148099-007500"",""9.0"",""2025-09-04"","""""
"1365m.60,""0.0"","""",""33970.0"",""2025-07-28"","""""
"PE2,""475.0"","""",""0.0"",""2025-08-12"","""""
"470712,""400000.0"",""143480-2809170"",""0.0"",""2025-07-31"","""""
"zrx65160070.80,""0.0"",""V-005000"",""10000.0"",""2025-01-09"","""""
"490208d,""70000.0"",""143480-2809770"",""0.0"",""2025-07-31"","""""
"m30005.01.65,""4000.0"",""160447-001000"",""0.0"",""2025-08-05"","""""
"m30008.00.65,""8000.0"",""160447-001000"",""0.0"",""2025-08-05"","""""
"zrx65135070.80,""0.0"",""V-005000"",""20000.0"",""2025-07-31"","""""
"zrx65135070.80,""0.0"",""V-005000"",""20000.0"",""2025-07-31"","""""
"m30011.50.65,""2100.0"",""V-000250"",""0.0"",""2025-10-02"","""""
"m30020.01.65,""10000.0"",""160447-000500"",""0.0"",""2025-08-05"","""""
"1009k.28,""0.0"","""",""16500.0"",""2025-09-04"","""""
"01009k.28,""16500.0"","""",""0.0"",""2025-09-18"","""""
"m40020.01.65,""3000.0"",""160447-000500"",""0.0"",""2025-08-05"","""""
"x07012036.ps,""10000.0"",""160447-000100"",""0.0"",""2025-08-05"","""""
"x07020036.ps,""3000.0"",""160447-001000"",""0.0"",""2025-08-05"","""""
"zk00032488,""0.0"",""V-001000"",""24030.0"",""2025-08-13"","""""
"zr1104120645F,""17670.0"","""",""0.0"",""2025-07-29"","""""
"440206.47,""0.0"",""V-001000"",""10000.0"",""2025-09-02"","""""
"01001q.68,""0.0"","""",""15600.0"",""2025-09-26"","""""
"5112.99,""0.0"",""V-000250"",""2000.0"",""2025-09-11"","""""
"440206.47,""0.0"",""V-001000"",""3000.0"",""2025-11-12"","""""
"460508,""0.0"",""135665-000500"",""6000.0"",""2025-09-02"","""""
"zp936.28,""0.0"",""V-010000"",""30000.0"",""2025-10-16"","""""
"3735,""0.0"",""146846-001000"",""10000.0"",""2025-09-01"","""""
"459706,""0.0"",""V-000500"",""6000.0"",""2025-07-28"","""""
"9,""10.0"","""",""0.0"",""2025-07-23"","""""
"16,""10.0"","""",""0.0"",""2025-08-13"","""""
"1013.60,""0.0"","""",""20000.0"",""2025-09-23"","""""
"3766w.67,""0.0"","""",""2000.0"",""2025-07-24"",""ZV-00227156|3766w.67||1"""
"1013.61,""20000.0"","""",""0.0"",""2025-10-07"","""""
"3903s,""1000.0"",""V-000250"",""0.0"",""2025-07-22"","""""
"3867d.68,""0.0"","""",""6000.0"",""2025-09-09"",""ZV-00227159|3867d.68||1"""
"3966,""0.0"","""",""10000.0"",""2025-07-24"",""ZV-00227161|3966||1"""
"1365a.61,""50000.0"","""",""0.0"",""2025-08-13"","""""
"440710.47,""0.0"","""",""2000.0"",""2025-07-24"",""ZV-00227164|440710.47||1"""
"x94064050.45,""16000.0"","""",""0.0"",""2025-09-05"","""""
"zs3825m.60,""0.0"","""",""15000.0"",""2025-08-22"","""""
"x94064050.45,""8000.0"","""",""0.0"",""2025-10-24"","""""
"zs3825m.68,""15000.0"","""",""0.0"",""2025-09-05"","""""
"6503e.90,""0.0"","""",""150000.0"",""2025-07-23"","""""
"6503e.95,""150000.0"","""",""0.0"",""2025-08-07"","""""
"5130.90,""0.0"","""",""200000.0"",""2025-08-13"","""""
"5130.99,""200000.0"","""",""0.0"",""2025-08-28"","""""
"x94064050.45,""8000.0"","""",""0.0"",""2025-11-20"","""""
"x10018703060,""323.0"",""V-001000"",""0.0"",""2025-11-28"","""""
"3867ab.60,""0.0"","""",""75000.0"",""2025-08-07"","""""
"3867ab.68,""75000.0"","""",""0.0"",""2025-08-22"","""""
"zrx50080045.80,""20000.0"",""V-005000"",""0.0"",""2026-02-16"","""""
"3827b08.22,""0.0"",""V-001000"",""10000.0"",""2026-05-13"","""""
"zrx50080045.80,""20000.0"",""V-005000"",""0.0"",""2026-07-15"","""""
"zrx65135070.80,""40000.0"",""V-005000"",""0.0"",""2025-07-31"","""""
"3827b08.22,""0.0"",""V-001000"",""5000.0"",""2026-05-26"","""""
"1364q.68,""0.0"",""V-001000"",""250000.0"",""2026-03-16"","""""
"3867f.60,""0.0"","""",""100000.0"",""2025-08-14"","""""
"3867f.68,""100000.0"","""",""0.0"",""2025-08-29"","""""
"zk20570,""0.0"",""V-001000"",""8000.0"",""2025-08-08"","""""
"zs340795.20,""0.0"","""",""3000.0"",""2025-07-07"","""""
"3866b.68,""0.0"",""V-005000"",""100000.0"",""2025-07-01"","""""
"3787b08.68,""30000.0"",""V-005000"",""0.0"",""2025-11-13"","""""
"zk20570,""0.0"",""V-001000"",""8000.0"",""2025-07-25"","""""
"zk20570,""0.0"",""V-001000"",""8000.0"",""2025-08-04"","""""
"440106.40,""0.0"","""",""500000.0"",""2025-08-14"","""""
"440106.47,""500000.0"","""",""0.0"",""2025-08-29"","""""
"3876c.60,""0.0"","""",""150000.0"",""2026-01-08"","""""
"3876c.67,""150000.0"","""",""0.0"",""2026-01-22"","""""
"zk20570,""0.0"",""V-001000"",""8000.0"",""2025-08-18"","""""
"mb_2,""0.0"","""",""1.17"",""2025-05-27"","""""
"x18103015.47,""0.0"","""",""1000000.0"",""2025-05-27"",""LA-00222482|x18103015.47||0"""
"mat_41,""0.0"","""",""1.092"",""2025-05-27"","""""
"mat_42,""0.0"","""",""0.006"",""2025-05-27"","""""
"460508,""1000000.0"","""",""0.0"",""2025-07-22"","""""
"mat_3,""0.0"","""",""55.0"",""2025-07-04"","""""
"mb_10,""0.0"","""",""1.64"",""2025-07-04"","""""
"mat_41,""0.0"","""",""1.54"",""2025-07-04"","""""
"mat_42,""0.0"","""",""0.009"",""2025-07-04"","""""
"x26105015.47,""0.0"","""",""1000000.0"",""2025-07-04"",""LA-00219621|x26105015.47||0"""
"zk210106164,""0.0"",""V-000108"",""1080.0"",""2025-08-29"","""""
"zs37639u.20,""100000.0"",""V-004000"",""0.0"",""2025-12-04"","""""
"zk210106164,""0.0"",""V-000108"",""1080.0"",""2025-10-10"","""""
"zs37639u.20,""100000.0"",""V-004000"",""0.0"",""2025-07-25"","""""
"3867y.22,""0.0"","""",""2600.0"",""2025-11-11"",""ZV-00225405|3867y.22||1"""
"3867d.62,""2000.0"","""",""0.0"",""2025-07-21"","""""
"zp0414110928,""1209985.0"",""148099-007500"",""0.0"",""2025-07-22"","""""
"3867t.68,""2000.0"","""",""0.0"",""2025-07-25"","""""
"zk20326,""0.0"",""148099-007500"",""160.0"",""2025-07-21"",""LA-00217043|zk20326||0"""
"vpss021,""0.0"",""148099-007500"",""9.0"",""2025-07-21"","""""
"vpfk085,""0.0"",""148099-007500"",""9.0"",""2025-07-21"",""LA-00217043|vpfk085||0"""
"zp0414110928,""1209985.0"",""148099-007500"",""0.0"",""2025-07-22"","""""
"3494a,""0.0"","""",""2000.0"",""2025-07-28"",""ZV-00227840|3494a||1"""
"3726,""0.0"","""",""1000.0"",""2025-12-08"",""ZV-00227846|3726||1"""
"3866g.68,""0.0"","""",""2000.0"",""2025-08-21"",""ZV-00227850|3866g.68||1"""
"737035,""270.0"",""116981-000090"",""0.0"",""2025-07-22"","""""
"3775a08.68,""0.0"",""147208-001000"",""50000.0"",""2025-07-24"","""""
"vpbf043,""0.0"",""V-000500"",""2.0"",""2025-09-25"","""""
"1364b.62,""0.0"",""V-000500"",""2000.0"",""2025-08-11"","""""
"1364b.68,""0.0"",""V-001000"",""150000.0"",""2025-11-18"","""""
"450.60,""0.0"","""",""96000.0"",""2025-09-09"","""""
"zs7113826.61,""0.0"",""V-001000"",""11000.0"",""2025-10-16"","""""
"3767w.95,""0.0"",""V-002000"",""48000.0"",""2025-08-26"","""""
"450.64,""96000.0"","""",""0.0"",""2025-09-23"","""""
"38421sbae.80,""0.0"",""V-001000"",""20000.0"",""2025-09-03"","""""
"5113.60,""20000.0"","""",""0.0"",""2025-08-12"","""""
"3878a.60,""20000.0"","""",""0.0"",""2025-07-22"","""""
"64084c.60,""50000.0"","""",""0.0"",""2025-07-22"","""""
"zs3245.60,""40000.0"","""",""0.0"",""2025-10-21"","""""
"10255009,""2000.0"",""V-000100"",""0.0"",""2025-09-18"","""""
"1082a.67,""0.0"","""",""18000.0"",""2025-09-16"",""LA-00222643|1082a.67||0"""
"zk20241a,""0.0"","""",""90.0"",""2025-09-16"",""LA-00222643|zk20241a||0"""
"3611c,""3000.0"","""",""0.0"",""2026-05-19"","""""
"3661c,""10000.0"","""",""0.0"",""2026-05-19"","""""
"3734h,""10000.0"","""",""0.0"",""2026-05-19"","""""
"372124,""5000.0"","""",""0.0"",""2026-05-19"","""""
"3741,""10000.0"","""",""0.0"",""2026-05-19"","""""
"zdm2554,""4000.0"",""V-000200"",""0.0"",""2025-09-11"","""""
"zk210106160,""6480.0"",""V-000216"",""0.0"",""2026-01-28"","""""
"3745b,""40000.0"","""",""0.0"",""2026-05-19"","""""
"zs20566.80,""50000.0"","""",""0.0"",""2025-08-19"","""""
"3320a.67,""20000.0"","""",""0.0"",""2025-08-06"","""""
"450208.65,""50000.0"","""",""0.0"",""2025-08-06"","""""
"450408.60,""500000.0"","""",""0.0"",""2025-10-16"","""""
"470508,""1000000.0"","""",""0.0"",""2025-08-21"","""""
"461321,""5000.0"","""",""0.0"",""2026-05-19"","""""
"3628c,""0.0"","""",""5000.0"",""2025-07-23"",""ZV-00222269|3628c||1"""
"460508ks,""30000.0"","""",""0.0"",""2026-05-19"","""""
"490712ks,""70000.0"","""",""0.0"",""2026-05-19"","""""
"3762b.67,""30000.0"","""",""0.0"",""2025-08-06"","""""
"3764.67,""100000.0"","""",""0.0"",""2025-08-06"","""""
"379908.67,""30000.0"","""",""0.0"",""2025-11-20"","""""
"3766w.67,""50000.0"","""",""0.0"",""2025-08-06"","""""
"m40015.00.pa,""500.0"",""V-000500"",""0.0"",""2025-08-08"","""""
"m40027.01.pa,""500.0"",""V-000500"",""0.0"",""2025-08-08"","""""
"zs20494.68,""200000.0"",""V-000500"",""0.0"",""2025-10-06"","""""
"zs20494.68,""200000.0"",""V-000500"",""0.0"",""2026-04-27"","""""
"zk200020460,""2000.0"",""V-001000"",""0.0"",""2025-09-02"","""""
"1080h.68,""0.0"","""",""10000.0"",""2025-07-28"",""ZV-00227984|1080h.68||1"""
"1121.61,""60000.0"",""118052-002000"",""0.0"",""2025-10-15"","""""
"1364a.68,""27000.0"",""116981-000100"",""0.0"",""2025-07-25"","""""
"2002.68,""12000.0"",""V-005000"",""0.0"",""2025-07-30"","""""
"2006.68,""1000.0"",""V-001000"",""0.0"",""2025-08-11"","""""
"2007.68,""6000.0"",""V-000500"",""0.0"",""2025-10-14"","""""
"3762a.67,""0.0"","""",""500.0"",""2025-08-14"",""ZV-00227990|3762a.67||1"""
"3783g.25,""0.0"","""",""6000.0"",""2025-07-21"",""ZV-00227991|3783g.25||1"""
"382508.68,""0.0"","""",""5000.0"",""2025-09-10"",""ZV-00227993|382508.68||1"""
"3509a,""5000.0"",""118634-000500"",""0.0"",""2025-07-28"","""""
"3870b.68,""0.0"","""",""5000.0"",""2025-10-24"",""ZV-00227995|3870b.68||1"""
"3870b.68,""0.0"","""",""6000.0"",""2025-11-07"",""ZV-00227996|3870b.68||1"""
"3970,""0.0"","""",""10000.0"",""2025-08-11"",""ZV-00227997|3970||1"""
"zr3401200165,""0.0"","""",""250000.0"",""2025-08-25"",""ZV-00213126|zr3401200165||1"""
"1002m.60,""0.0"","""",""340000.0"",""2025-10-17"","""""
"1002m.68,""340000.0"","""",""0.0"",""2025-10-31"","""""
"zk20275,""25000.0"","""",""0.0"",""2025-11-26"","""""
"zk20276,""25000.0"","""",""0.0"",""2025-11-26"","""""
"PC2,""0.0"","""",""612.5"",""2025-08-29"","""""
"vpfk056,""0.0"","""",""36.0"",""2025-08-31"","""""
"PC2,""0.0"","""",""762.5"",""2025-08-29"","""""
"vpfk056,""0.0"","""",""50.0"",""2025-08-31"","""""
"RCU15,""0.0"","""",""2.276"",""2025-05-14"","""""
"37660.67,""0.0"",""V-015000"",""45000.0"",""2025-07-30"","""""
"zs7010170168,""50000.0"",""118165-005000"",""0.0"",""2025-07-23"","""""
"3867e.68,""200000.0"",""V-001000"",""0.0"",""2025-09-11"","""""
"3867e.68,""0.0"","""",""200000.0"",""2025-09-10"",""ZL-00223667|3867e.68||1"""
"1002d.61,""10000.0"",""110384-002000"",""0.0"",""2025-07-24"","""""
"1364d.60,""500000.0"","""",""0.0"",""2025-11-20"","""""
"RMS31,""0.0"","""",""89.44"",""2025-11-03"","""""
"1364d.60,""500000.0"","""",""0.0"",""2025-09-19"","""""
"389905s,""2000.0"",""116981-000500"",""0.0"",""2025-07-25"","""""
"RMS31,""0.0"","""",""89.44"",""2025-09-01"","""""
"1364h.60,""300000.0"","""",""0.0"",""2025-10-21"","""""
"zk2101081471,""6480.0"","""",""0.0"",""2026-04-22"","""""
"3867032,""200.0"","""",""0.0"",""2025-11-13"","""""
"3832d.61,""2000.0"",""116981-001000"",""0.0"",""2025-09-05"","""""
"3835x.48,""10000.0"",""V-000250"",""0.0"",""2025-10-02"","""""
"396008,""20000.0"",""V-000250"",""0.0"",""2025-07-22"","""""
"381790.67,""40000.0"","""",""0.0"",""2025-08-06"","""""
"3856.60,""500000.0"","""",""0.0"",""2025-12-11"","""""
"396208s,""500.0"",""V-000250"",""0.0"",""2025-08-08"","""""
"3875a.67,""50000.0"","""",""0.0"",""2025-08-06"","""""
"3878a.67,""30000.0"","""",""0.0"",""2025-08-06"","""""
"4509a06.67,""10000.0"",""118634-001000"",""0.0"",""2025-07-28"","""""
"460408d,""2000.0"",""118439-000100"",""0.0"",""2025-07-28"","""""
"3876c.65,""30000.0"","""",""0.0"",""2025-08-06"","""""
"38422sba.95,""40000.0"","""",""0.0"",""2025-08-06"","""""
"387202,""3000.0"","""",""0.0"",""2026-05-19"","""""
"387203,""4000.0"","""",""0.0"",""2026-05-19"","""""
"3876r10.68,""10000.0"","""",""0.0"",""2025-08-06"","""""
"387811.67,""10000.0"","""",""0.0"",""2025-07-22"","""""
"3400a,""2000.0"","""",""0.0"",""2026-05-19"","""""
"3411a,""2000.0"","""",""0.0"",""2026-05-19"","""""
"3412a,""1500.0"","""",""0.0"",""2026-05-19"","""""
"3789c08.61,""5000.0"",""V-000500"",""0.0"",""2025-10-14"","""""
"zdzt50096.60,""0.0"","""",""100000.0"",""2025-09-01"","""""
"zdzt50096.62,""100000.0"","""",""0.0"",""2025-09-15"","""""
"zs9230037848,""10000.0"",""V-000500"",""0.0"",""2025-08-08"","""""
"RCU12,""0.0"","""",""75.6"",""2025-09-01"","""""
"460612,""0.0"",""V-000500"",""1000.0"",""2025-08-07"","""""
"490712,""0.0"",""V-000500"",""1000.0"",""2025-08-07"","""""
"490812,""0.0"",""V-000500"",""500.0"",""2025-08-07"","""""
"490912,""0.0"",""V-000500"",""500.0"",""2025-08-07"","""""
"440512.47,""0.0"",""V-001000"",""1000.0"",""2025-08-07"","""""
"440712.47,""0.0"",""V-001000"",""1000.0"",""2025-08-07"","""""
"3660a,""0.0"",""V-000250"",""500.0"",""2025-08-07"","""""
"3671a,""0.0"",""V-000050"",""100.0"",""2025-08-07"","""""
"4508b06.67,""0.0"",""118634-000500"",""5000.0"",""2025-09-02"","""""
"3629c,""0.0"",""118634-000500"",""500.0"",""2025-09-02"","""""
"3741,""0.0"",""118634-000500"",""5000.0"",""2025-09-02"","""""
"3760b.61,""0.0"",""V-000500"",""500.0"",""2025-08-07"","""""
"3865u.68,""25000.0"","""",""0.0"",""2025-08-07"","""""
"3876r04.68,""0.0"","""",""20000.0"",""2026-01-27"","""""
"3876r04.68,""0.0"","""",""20000.0"",""2026-05-26"","""""
"zp0414110928,""1200000.0"",""148099-007500"",""0.0"",""2025-12-19"","""""
"zp0414110928F,""0.0"",""148099-007500"",""1200000.0"",""2025-12-18"","""""
"RBZ12,""0.0"",""148099-007500"",""111.6"",""2025-11-14"","""""
"zk20326,""0.0"",""148099-007500"",""160.0"",""2025-11-16"",""LA-00221882|zk20326||0"""
"vpss021,""0.0"",""148099-007500"",""9.0"",""2025-11-16"","""""
"zb20487,""5000.0"",""V-001000"",""0.0"",""2025-07-28"","""""
"zk20487,""0.0"","""",""10000.0"",""2025-07-15"",""LA-00223853|zk20487||0"""
"zs20423.68,""0.0"","""",""20000.0"",""2025-07-15"",""LA-00223853|zs20423.68||0"""
"956.62,""0.0"","""",""25920.0"",""2025-09-12"",""LA-00223482|956.62||0"""
"zk210106143,""0.0"","""",""6480.0"",""2026-02-24"",""LA-00223483|zk210106143||0"""
"956.62,""0.0"","""",""25920.0"",""2026-02-24"",""LA-00223483|956.62||0"""
"zk210105757,""30000.0"","""",""0.0"",""2025-08-20"","""""
"PE2,""0.0"","""",""108.3"",""2025-07-31"","""""
"zk2101081473,""3220.0"","""",""0.0"",""2025-07-22"","""""
"zk2101081474,""1520.0"","""",""0.0"",""2025-07-15"","""""
"37701.67,""0.0"",""V-001000"",""1000.0"",""2025-08-04"","""""
"3785a05.68,""0.0"",""V-005000"",""15000.0"",""2025-12-19"","""""
"3990.1,""0.0"",""148319-VT SORT 3990.1"",""5.0"",""2025-07-29"","""""
"460512,""0.0"",""148319-VT AEHUL 2,5-18"",""50000.0"",""2025-07-29"","""""
"03775l08.28,""0.0"",""152721-005000"",""50000.0"",""2025-09-29"","""""
"4509b15.60,""0.0"",""V-000500"",""3000.0"",""2025-07-31"","""""
"wz0217,""1.0"","""",""0.0"",""2025-09-09"","""""
"3513a,""0.0"",""118165-000250"",""500.0"",""2025-08-04"","""""
"3833.60,""0.0"",""116981-000500"",""20000.0"",""2025-07-28"","""""
"3653a,""0.0"",""116981-000500"",""2000.0"",""2025-07-28"","""""
"440208.47,""0.0"",""116981-000100"",""26000.0"",""2025-07-28"","""""
"382508.61,""0.0"",""V-002000"",""2000.0"",""2025-09-29"","""""
"469906,""0.0"",""116981-000100"",""20000.0"",""2025-07-28"","""""
"3716p,""0.0"",""116981-000500"",""500.0"",""2025-07-28"","""""
"460206,""0.0"",""116981-000500"",""1000.0"",""2025-07-28"","""""
"x70070027.40,""20000.0"","""",""0.0"",""2025-07-28"","""""
"x60020140.65,""30000.0"","""",""0.0"",""2025-12-01"","""""
"6502e.65,""60000.0"","""",""0.0"",""2025-10-15"","""""
"1005f.28,""100000.0"","""",""0.0"",""2026-06-18"","""""
"03779r.28,""20000.0"","""",""0.0"",""2025-10-15"","""""
"1002n.68,""3000000.0"","""",""0.0"",""2025-08-06"","""""
"6432a.55,""20000.0"",""110384-001000"",""0.0"",""2025-11-06"","""""
"1002n.68,""3000000.0"","""",""0.0"",""2025-11-20"","""""
"4010.24,""51800.0"","""",""0.0"",""2025-08-06"","""""
"4501.64,""96000.0"",""V-000500"",""0.0"",""2026-01-06"","""""
"1364s.68,""600000.0"","""",""0.0"",""2025-08-21"","""""
"zs20414.68,""3400.0"","""",""0.0"",""2025-10-02"","""""
"1121.61,""40000.0"","""",""0.0"",""2025-10-13"","""""
"03775l08.28,""150000.0"","""",""0.0"",""2025-09-25"","""""
"03779t.68,""500000.0"","""",""0.0"",""2025-07-25"","""""
"03779t.68,""500000.0"","""",""0.0"",""2025-08-06"","""""
"3826a.61,""50000.0"","""",""0.0"",""2025-09-24"","""""
"3867x.68,""24000.0"","""",""0.0"",""2025-10-30"","""""
"38101sb.95,""50000.0"","""",""0.0"",""2025-10-16"","""""
"3871r10.80,""20000.0"","""",""0.0"",""2025-11-21"","""""
"3832d.61,""0.0"","""",""2000.0"",""2025-09-03"",""ZV-00228510|3832d.61||1"""
"3835x.48,""0.0"","""",""10000.0"",""2025-10-01"",""ZV-00228511|3835x.48||1"""
"3414a,""20000.0"","""",""0.0"",""2026-04-20"","""""
"3491a,""100000.0"","""",""0.0"",""2026-03-19"","""""
"396208s,""0.0"","""",""500.0"",""2025-08-07"",""ZV-00228514|396208s||1"""
"3494a,""15000.0"","""",""0.0"",""2026-03-19"","""""
"3527a,""3000.0"","""",""0.0"",""2026-03-19"","""""
"4509a06.67,""0.0"","""",""10000.0"",""2025-07-24"",""ZV-00228517|4509a06.67||1"""
"460408d,""0.0"","""",""2000.0"",""2025-07-25"",""ZV-00228518|460408d||1"""
"3547c,""3000.0"","""",""0.0"",""2026-03-19"","""""
"3623a,""80000.0"","""",""0.0"",""2026-05-19"","""""
"3632a,""60000.0"","""",""0.0"",""2026-05-19"","""""
"3661a,""60000.0"","""",""0.0"",""2026-05-19"","""""
"zr1104120145,""0.0"","""",""10000.0"",""2025-10-15"",""ZV-00220312|zr1104120145||1"""
"3665a,""15000.0"","""",""0.0"",""2026-05-19"","""""
"x30050050.60,""1.0"",""V-001000"",""0.0"",""2025-07-22"","""""
"3619a,""10000.0"","""",""0.0"",""2026-05-19"","""""
"3670a,""5000.0"","""",""0.0"",""2026-05-19"","""""
"3678a,""5000.0"","""",""0.0"",""2026-05-19"","""""
"3609c,""40000.0"","""",""0.0"",""2026-05-19"","""""
"4500.64,""0.0"",""V-000500"",""9000.0"",""2025-10-28"","""""
"460412,""0.0"","""",""20000.0"",""2025-08-25"",""ZV-00226105|460412||1"""
"x18130015.47,""500000.0"","""",""0.0"",""2025-11-19"","""""
"3414a,""0.0"",""V-000100"",""2000.0"",""2026-01-16"","""""
"6443.65,""0.0"","""",""25000.0"",""2026-05-20"",""ZV-00226109|6443.65||1"""
"6443.65,""0.0"","""",""5000.0"",""2025-08-11"",""ZV-00226110|6443.65||1"""
"6443.65,""0.0"","""",""25000.0"",""2025-12-01"",""ZV-00226111|6443.65||1"""
"6443.65,""0.0"","""",""25000.0"",""2026-03-18"",""ZV-00226112|6443.65||1"""
"3937s,""0.0"",""V-000250"",""1000.0"",""2025-08-05"","""""
"m30e12.00.pa,""0.0"",""160447-000500"",""500.0"",""2025-07-23"","""""
"m30e12.00.pa,""500.0"",""160447-000500"",""0.0"",""2025-07-23"","""""
"m40005.01.65,""0.0"",""160447-000500"",""1000.0"",""2025-07-23"","""""
"m40005.01.65,""1000.0"",""160447-000500"",""0.0"",""2025-07-23"","""""
"m60025.01.99,""0.0"",""V-000050"",""500.0"",""2025-07-23"","""""
"m60025.01.99,""500.0"",""V-000050"",""0.0"",""2025-07-23"","""""
"x07004036.ps,""0.0"",""160447-000100"",""6900.0"",""2025-07-23"","""""
"x07004036.ps,""6900.0"",""160447-000100"",""0.0"",""2025-07-23"","""""
"x18130015.47F,""0.0"",""155254"",""500000.0"",""2025-11-11"","""""
"3876r06.60,""0.0"","""",""20000.0"",""2025-07-21"",""ZL-00228825|3876r06.60||1"""
"3660c,""0.0"",""V-000250"",""250.0"",""2025-09-30"","""""
"378908.68,""0.0"",""141737-000100"",""10000.0"",""2025-10-03"","""""
"378908.68,""0.0"",""141737-000100"",""30000.0"",""2025-10-17"","""""
"zs20564.68,""0.0"",""V-001000"",""20000.0"",""2025-10-15"","""""
"zrh4k201,""0.0"",""112524-000400"",""20000.0"",""2025-09-04"","""""
"382508.68,""0.0"",""112558-001000"",""5000.0"",""2025-09-15"","""""
"3870b.68,""0.0"",""V-001000"",""5000.0"",""2025-10-28"","""""
"3870b.68,""0.0"",""V-001000"",""6000.0"",""2025-11-11"","""""
"SMS1,""0.0"","""",""0.006"",""2025-07-21"","""""
"zs6920089.40,""0.0"","""",""2000000.0"",""2025-09-17"",""ZV-00228319|zs6920089.40||1"""
"3829k08.60,""0.0"",""V-001000"",""3930.0"",""2025-08-19"","""""
"zs203180.22,""100000.0"",""V-010000"",""0.0"",""2026-03-18"","""""
"3785c08.68,""50000.0"",""V-002000"",""0.0"",""2025-09-12"","""""
"3785c08.68,""50000.0"",""V-002000"",""0.0"",""2025-10-10"","""""
"3785c08.68,""50000.0"",""V-002000"",""0.0"",""2025-12-05"","""""
"3785c08.68,""50000.0"",""V-002000"",""0.0"",""2025-12-05"","""""
"3785c08.68,""50000.0"",""V-002000"",""0.0"",""2026-01-16"","""""
"sprd33404sw,""0.0"","""",""10.0"",""2026-03-12"",""LA-00229564|sprd33404sw||0"""
"zkhuc0095,""0.0"",""V-010000"",""40304.0"",""2026-03-12"",""LA-00229564|zkhuc0095||0"""
"sprd33408sw,""0.0"",""V-010000"",""10.0"",""2026-03-12"",""LA-00229564|sprd33408sw||0"""
"387203,""3000.0"",""148319-TFSK-6,35"",""0.0"",""2025-09-10"","""""
"396208s,""4000.0"",""148319-VT IFSH-B-4,75"",""0.0"",""2025-07-25"","""""
"zk80040010,""0.0"","""",""102500.0"",""2026-03-12"",""LA-00229564|zk80040010||0"""
"zs20318.22,""0.0"","""",""100000.0"",""2026-03-12"",""LA-00229564|zs20318.22||0"""
"zs203180.22,""100000.0"",""V-010000"",""0.0"",""2026-04-07"","""""
"sprd33404sw,""0.0"","""",""10.0"",""2026-03-30"",""LA-00229565|sprd33404sw||0"""
"zkhuc0095,""0.0"",""V-010000"",""40304.0"",""2026-03-30"",""LA-00229565|zkhuc0095||0"""
"sprd33408sw,""0.0"",""V-010000"",""10.0"",""2026-03-30"",""LA-00229565|sprd33408sw||0"""
"03866a.68,""0.0"","""",""12000.0"",""2025-08-21"","""""
"x70030140.10,""10000.0"",""V-001000"",""0.0"",""2025-09-12"","""""
"2068.68,""0.0"","""",""2000.0"",""2025-08-06"",""ZL-00229117|2068.68||1"""
"440005.41,""0.0"","""",""10000.0"",""2025-08-13"",""ZL-00229126|440005.41||1"""
"396208s,""0.0"","""",""4500.0"",""2025-10-29"",""ZV-00227801|396208s||1"""
"930.28,""0.0"","""",""25000.0"",""2025-08-26"",""ZV-00227808|930.28||1"""
"zszt57137.70,""0.0"","""",""10000.0"",""2025-09-24"",""ZV-00227810|zszt57137.70||1"""
"3966,""0.0"",""V-001000"",""10000.0"",""2025-09-16"","""""
"3408a,""500.0"",""110682-000050"",""0.0"",""2025-07-24"","""""
"3870e45.68,""500.0"",""V-000250"",""0.0"",""2025-07-29"","""""
"38950.95,""56000.0"",""V-014000"",""0.0"",""2025-09-09"","""""
"38950.95,""56000.0"",""V-014000"",""0.0"",""2025-11-11"","""""
"38950.95,""56000.0"",""V-014000"",""0.0"",""2026-03-03"","""""
"38950.95,""56000.0"",""V-014000"",""0.0"",""2026-06-05"","""""
"1000c.20,""0.0"","""",""49041.0"",""2025-09-15"","""""
"1000c.21,""49041.0"","""",""0.0"",""2025-09-29"","""""
"38402sbs.80,""0.0"",""V-001000"",""30000.0"",""2025-11-17"","""""
"4509a06.67,""0.0"",""118634-001000"",""30000.0"",""2025-09-02"","""""
"3966,""0.0"",""130471-000250"",""10000.0"",""2025-09-22"","""""
"3310a.68,""0.0"",""V-000500"",""1000.0"",""2025-08-19"","""""
"x60035100.95,""0.0"",""V-001000"",""20000.0"",""2025-11-03"","""""
"765.60,""5000.0"","""",""0.0"",""2025-09-03"","""""
"zs20500.20,""0.0"","""",""21000.0"",""2025-07-16"","""""
"101506.28,""0.0"",""110384-002000"",""20000.0"",""2025-09-12"","""""
"3866a.68,""0.0"",""V-000500"",""13000.0"",""2025-07-23"","""""
"01016h.28,""0.0"","""",""108000.0"",""2025-11-17"","""""
"3628c,""0.0"",""130471-000250"",""2500.0"",""2026-01-05"","""""
"3734h,""10000.0"",""V-000250"",""0.0"",""2026-02-27"","""""
"3619a,""0.0"",""116981-001000"",""1000.0"",""2025-08-04"","""""
"4805,""0.0"",""116981-000200"",""1000.0"",""2025-07-28"","""""
"3866c.61,""92991.0"",""V-001000"",""0.0"",""2025-08-07"","""""
