"Teil,""Deckungsmenge"",""KommNr"",""Bedarfsmenge"",""Termin"",""SubRefObj"""
"zdzt48812.62,""0.0"","""",""100000.0"",""2025-09-22"",""ZV-00228225|zdzt48812.62||1"""
"zs20421.60,""0.0"","""",""300000.0"",""2025-09-25"",""ZV-00228226|zs20421.60||1"""
"3826b.28,""0.0"","""",""10000.0"",""2025-08-26"",""ZV-00219948|3826b.28||1"""
"SCUA19,""0.0"","""",""5.28"",""2025-06-30"","""""
"470308w,""0.0"","""",""87500.0"",""2025-08-21"",""ZV-00229500|470308w||1"""
"3970s,""0.0"","""",""4000.0"",""2025-10-27"",""ZL-00224357|3970s||1"""
"a40100040.65,""0.0"","""",""20000.0"",""2025-08-29"",""ZV-00229506|a40100040.65||1"""
"zs1515elc113,""0.0"","""",""4400.0"",""2025-10-10"","""""
"zs1515elc112,""4400.0"","""",""0.0"",""2025-10-24"","""""
"zr2104001548,""2049990.0"",""V-005000"",""0.0"",""2025-08-12"","""""
"3972s,""2000.0"",""116981-000500"",""0.0"",""2025-07-25"","""""
"zr2104001548,""2040538.0"",""V-005000"",""0.0"",""2025-09-10"","""""
"3767w.90,""0.0"","""",""50000.0"",""2025-08-06"","""""
"zr2104001548,""2000130.0"",""V-005000"",""0.0"",""2025-09-24"","""""
"3767w.95,""50000.0"","""",""0.0"",""2025-08-21"","""""
"765.68,""0.0"",""V-000250"",""5000.0"",""2025-08-28"","""""
"zr2104001548,""2000130.0"",""V-005000"",""0.0"",""2025-10-01"","""""
"c51080015.40,""5000.0"","""",""0.0"",""2025-07-28"","""""
"b40050030.60,""0.0"","""",""60000.0"",""2025-07-23"","""""
"zr2104001548,""1000130.0"",""V-005000"",""0.0"",""2025-10-13"","""""
"b40050030.65,""60000.0"","""",""0.0"",""2025-08-07"","""""
"SCU31,""0.0"","""",""17.019"",""2025-08-26"","""""
"3494a,""2000.0"",""110376-002000"",""0.0"",""2025-07-30"","""""
"3779t.68,""500000.0"",""V-025000"",""0.0"",""2025-08-21"","""""
"3726,""1000.0"",""112257-000050"",""0.0"",""2025-12-09"","""""
"38581.27,""2000.0"",""V-001000"",""0.0"",""2021-03-16"","""""
"zr2511015x.63,""500000.0"","""",""0.0"",""2025-09-05"","""""
"zr2511015x.63F,""0.0"",""155256"",""500000.0"",""2025-08-29"","""""
"RMSA10,""0.0"","""",""9.975"",""2025-07-21"","""""
"396108s,""0.0"",""116981-000500"",""5500.0"",""2025-07-28"","""""
"3597a,""0.0"",""V-000250"",""5000.0"",""2025-08-25"","""""
"378105.60,""0.0"",""V-005000"",""10000.0"",""2025-08-20"","""""
"3745b,""0.0"",""V-001000"",""20000.0"",""2025-11-28"","""""
"3833w.67,""0.0"",""V-000500"",""1500.0"",""2025-09-12"","""""
"3871r08.80,""0.0"",""V-000250"",""250.0"",""2025-08-21"","""""
"440710.47,""0.0"",""V-001000"",""1000.0"",""2025-08-21"","""""
"zd20298.60,""0.0"","""",""1000000.0"",""2025-07-29"","""""
"3530a,""0.0"",""V-000250"",""6000.0"",""2025-07-29"","""""
"v10050102060,""0.0"","""",""20000.0"",""2025-10-07"","""""
"v10050102068,""20000.0"","""",""0.0"",""2025-10-21"","""""
"x60035100.90,""0.0"","""",""40000.0"",""2025-10-09"","""""
"x60035100.95,""40000.0"","""",""0.0"",""2025-10-23"","""""
"zp0414110928F,""1200000.0"",""148099-007500"",""0.0"",""2025-08-05"","""""
"zp0414110928F,""1200000.0"",""148099-007500"",""0.0"",""2025-08-05"","""""
"zr2104001548F,""2016900.0"",""V-005000"",""0.0"",""2025-08-05"","""""
"470108,""0.0"","""",""10000.0"",""2025-07-29"",""ZV-00229771|470108||1"""
"470108d,""0.0"","""",""10000.0"",""2025-07-29"",""ZV-00229772|470108d||1"""
"470308,""0.0"","""",""10000.0"",""2025-07-22"",""ZV-00229773|470308||1"""
"470408,""0.0"","""",""10000.0"",""2025-07-29"",""ZV-00229774|470408||1"""
"955.68,""0.0"","""",""2000.0"",""2025-07-23"",""ZV-00229775|955.68||1"""
"m30010.01.65,""0.0"","""",""35000.0"",""2025-07-28"",""ZV-00229776|m30010.01.65||1"""
"m30025.01.65,""0.0"","""",""1000.0"",""2025-08-18"",""ZV-00229777|m30025.01.65||1"""
"m30030.00.65,""0.0"","""",""1000.0"",""2025-07-25"",""ZV-00229778|m30030.00.65||1"""
"m30e08.00.pa,""0.0"","""",""3000.0"",""2025-07-28"",""ZV-00229779|m30e08.00.pa||1"""
"x07018036.ps,""0.0"","""",""10000.0"",""2025-07-28"",""ZV-00229780|x07018036.ps||1"""
"x50120075.65,""0.0"","""",""500.0"",""2025-07-25"",""ZV-00229781|x50120075.65||1"""
"b45120025.60,""0.0"",""V-002000"",""2000.0"",""2025-07-23"","""""
"1004b.20,""0.0"",""V-010000"",""10000.0"",""2025-08-25"","""""
"3785a08.68,""0.0"",""114566-463535"",""48000.0"",""2025-07-29"","""""
"03780a08.68,""0.0"","""",""5000.0"",""2025-08-04"","""""
"01016c.68,""0.0"","""",""5400.0"",""2025-08-04"","""""
"393408s,""10000.0"",""V-000250"",""0.0"",""2025-10-28"","""""
"zs9230037848,""0.0"","""",""10000.0"",""2025-10-10"",""ZV-00225587|zs9230037848||1"""
"zs9230037848,""0.0"","""",""10000.0"",""2025-11-12"",""ZV-00225588|zs9230037848||1"""
"zs9230037848,""0.0"","""",""10000.0"",""2025-11-12"",""ZV-00225589|zs9230037848||1"""
"zs9230037848,""0.0"","""",""10000.0"",""2025-12-10"",""ZV-00225590|zs9230037848||1"""
"zs9230037848,""0.0"","""",""10000.0"",""2025-12-10"",""ZV-00225591|zs9230037848||1"""
"zs9230037848,""0.0"","""",""10000.0"",""2026-01-20"",""ZV-00225592|zs9230037848||1"""
"zs9230037848,""0.0"","""",""10000.0"",""2026-01-20"",""ZV-00225593|zs9230037848||1"""
"zs9230037848,""0.0"","""",""10000.0"",""2026-02-25"",""ZV-00225594|zs9230037848||1"""
"zs9230037848,""0.0"","""",""10000.0"",""2026-02-25"",""ZV-00225595|zs9230037848||1"""
"3494a,""10000.0"",""170456-000100"",""0.0"",""2025-07-29"","""""
"x21105015.47,""1000000.0"","""",""0.0"",""2026-01-19"","""""
