"Teil,""Anzahl"""
"1004g.22,""1773.0"""
"1004h.68,""46502.0"""
"1004m.68,""7007.0"""
"1004p.68,""105715.0"""
"1004s.28,""26340.0"""
"1004w.28,""1347.0"""
"1005b.20,""30280.0"""
"1005b.28,""3085.0"""
"1005e.28,""3000.0"""
"1005f.20,""963.0"""
"1005f.28,""85330.0"""
"1005h.28,""17680.0"""
"1005u.20,""226000.0"""
"1006.60,""69248.0"""
"1006.61,""921.0"""
"1006.68,""10144.0"""
"1006h.68,""9475.0"""
"1007a.28,""60120.0"""
"1007a08.20,""72245.0"""
"1007a08.28,""26539.0"""
"1007d.68,""720.0"""
"1009k.20,""76200.0"""
"1009k.22,""5992.0"""
"1009l.20,""57200.0"""
"1009l.28,""490.0"""
"1010.61,""14830.0"""
"1011.61,""4265.0"""
"1013.68,""52.0"""
"1013e.60,""200000.0"""
"1013e.68,""3390.0"""
"1013s.68,""2000.0"""
"1015.20,""106950.0"""
"1015.28,""93380.0"""
"1015.61,""4950.0"""
"101506.28,""6110.0"""
"1015b.28,""5535.0"""
"1015d.60,""70500.0"""
"1015k.68,""2490.0"""
"1016a.20,""5.0"""
"1016a.28,""30088.0"""
"1016b.28,""4800.0"""
"1016b.60,""2180.0"""
"1016b.61,""28865.0"""
"1016b.68,""6275.0"""
"1016c.68,""21850.0"""
"1016d.20,""173095.0"""
"1016e.20,""20000.0"""
"1016e.28,""40720.0"""
"1016f.20,""101340.0"""
"1016f.28,""13270.0"""
"1016g.28,""2448.0"""
"1016l.28,""44090.0"""
"1016l.60,""8600.0"""
"1016l.61,""33439.0"""
"1016l.62,""20.0"""
"1016l.68,""49380.0"""
"1016m.70,""3705.0"""
"1016m.785,""1080.0"""
"1016r.60,""90500.0"""
"1016r.61,""880.0"""
"1016r.68,""42000.0"""
"1016s.60,""99937.0"""
"1016s.68,""21521.0"""
"1016t.60,""15000.0"""
"1016t.68,""7391.0"""
"1016v.68,""1100.0"""
"1017.61,""16720.0"""
"1017.68,""51337.0"""
"1017d.20,""14210.0"""
"1017d.28,""3145.0"""
"1017k.47,""455.0"""
"1017s.20,""29600.0"""
"1017s.28,""11096.0"""
"1017w.28,""36202.0"""
"1018.20,""495500.0"""
"1018.28,""13000.0"""
"1018.60,""518350.0"""
"1018.68,""52526.0"""
"101806.60,""82178.0"""
"101806.61,""9568.0"""
"101806.68,""50000.0"""
"1018k06.68,""1331.0"""
"1019d.68,""17495.0"""
"1019e.60,""22995.0"""
"1019f.20,""421.0"""
"1019f.28,""10877.0"""
"1019k.20,""7600.0"""
"1019k.28,""4987.0"""
"1019m.68,""17660.0"""
"1019p.60,""12000.0"""
"1019r.60,""21500.0"""
"1019r.68,""90.0"""
"1019u.70,""1089.0"""
"1019v.68,""10500.0"""
"1021.60,""87500.0"""
"1021.61,""5500.0"""
"1021.68,""29000.0"""
"1023.60,""117808.0"""
"1023.61,""1630.0"""
